homelat,homelon,homecontinent,n
33.0,65.0,Europe,22
41.1533,20.1683,Europe,64
28.0339,1.6596,Europe,87
42.5063,1.5218,Europe,53
-11.2027,17.8739,Europe,0
17.0608,-61.7964,Europe,1
-38.4161,-63.6167,Europe,97
40.0691,45.0382,Europe,115
-35.4735,149.0124,Europe,4
-33.8688,151.2093,Europe,307
-12.4634,130.8456,Europe,1
-28.0167,153.4,Europe,144
-34.9285,138.6007,Europe,42
-41.4545,145.9707,Europe,10
-37.8136,144.9631,Europe,121
-31.9505,115.8605,Europe,52
47.5162,14.5501,Europe,2013
40.1431,47.5769,Europe,44
25.0343,-77.3963,Europe,3
26.0275,50.55,Europe,278
23.685,90.3563,Europe,17
13.1939,-59.5432,Europe,5
53.7098,27.9534,Europe,51
50.8333,4.0,Europe,1795
9.3077,2.3158,Europe,2
27.5142,90.4336,Europe,1
-16.2902,-63.5887,Europe,12
43.9159,17.6791,Europe,63
-14.235,-51.9253,Europe,621
4.5353,114.7277,Europe,75
42.7339,25.4858,Europe,94
12.2383,-1.5616,Europe,33
16.5388,-23.0418,Europe,0
11.55,104.9167,Europe,37
3.8480000000000003,11.5021,Europe,13
53.9333,-116.5765,Europe,119
49.2827,-123.1207,Europe,231
37.6489,-122.6655,Europe,9
53.7609,-98.8139,Europe,17
46.5653,-66.4619,Europe,11
53.1355,-57.6604,Europe,3
44.681999999999995,-63.7443,Europe,14
51.2538,-85.3232,Europe,257
46.5107,-63.4168,Europe,2
52.9399,-73.5491,Europe,121
52.9399,-106.4509,Europe,16
6.6111,20.9394,Europe,1
15.4542,18.7322,Europe,1
-35.6751,-71.543,Europe,238
31.8257,117.2264,Europe,990
40.1824,116.4142,Europe,480
30.0572,107.874,Europe,576
26.0789,117.9874,Europe,296
37.8099,101.0583,Europe,134
23.3417,113.4244,Europe,1378
23.8298,108.7881,Europe,253
26.8154,106.8748,Europe,146
19.1959,109.7453,Europe,168
39.549,116.1306,Europe,318
47.861999999999995,127.7615,Europe,483
33.882,113.61399999999999,Europe,1273
22.3,114.2,Europe,208
30.9756,112.2707,Europe,67800
27.6104,111.7088,Europe,1018
44.0935,113.9448,Europe,75
32.9711,119.455,Europe,631
27.614,115.7221,Europe,935
43.6661,126.1923,Europe,93
41.2956,122.6085,Europe,125
22.1667,113.55,Europe,17
37.2692,106.1655,Europe,75
35.7452,95.9956,Europe,18
35.1917,108.8701,Europe,246
36.3427,118.1498,Europe,761
31.201999999999998,121.4491,Europe,363
37.5777,112.2922,Europe,133
30.6171,102.7103,Europe,540
